state_fips,n_records,weighted_pop,mean_pretax_income,median_pretax_income,mean_posttax_income,median_posttax_income,mean_market_income,median_market_income,mean_means_tested,median_means_tested,mean_social_insurance,median_social_insurance,mean_capital_income,median_capital_income,mean_federal_taxes,median_federal_taxes,mean_tax_credits,median_tax_credits,gini,pct_receiving_SSI_VAL,pct_receiving_PAW_VAL,bottom_50_mean_income,state_name,transfer_dependency,capital_share,b50_relative,gini_norm,transfer_dependency_z,capital_share_z,b50_relative_z,gini_norm_z,exposure_index,treatment_group
24,1420,5104110.04,63664.310097656125,42410.0,49063.04234052524,35180.5,58414.94976056394,38880.5,644.2322571869944,0.0,5249.360337092184,0.0,5503.085048082153,10.0,11318.08833061914,4406.0,505.75678836657687,0.0,0.5541457640801088,1.799691215121216,0.377693659598295,15584.117130780494,Maryland,0.09257294369857874,0.08643909027900948,1.1371551348799869,0.8734041393585251,-0.7594547894533396,-0.3928048936777144,0.606675969949333,-0.40213820577809534,-0.4693188743974307,Medium Exposure
25,2547,5851416.6,68870.26188787857,45020.0,53771.282612321615,38020.0,64220.77162891461,40000.0,935.9111360298632,0.0,4649.490258963958,0.0,5912.895104325678,17.0,13156.4170730674,4743.0,457.43262963194246,0.0,0.5681791587252442,2.096055679918603,0.8506868234266554,16013.93155159818,Massachusetts,0.08110033622475411,0.08585556294169357,1.1685181996963394,0.8955225525393232,-1.2885620324677018,-0.4283382377878153,0.7517588059780068,0.10445951160945453,-0.5913817151670345,Low Exposure
26,2450,8207878.720000001,56901.60523669993,37181.0,46277.14998828833,32621.0,50875.79350433433,30000.0,642.5360951970791,0.0,6025.811732365606,0.0,5940.083652317904,10.0,9500.227849318171,3060.0,553.4072275388105,0.0,0.5744678035057342,2.495410409767848,0.657267143440443,13717.317327888844,Michigan,0.1171908560369012,0.10439219820966875,1.0009368965392134,0.9054342558099475,0.37590312772612194,0.7004325969259728,-0.023457865918804704,0.331476079718424,0.09983378088457298,Medium Exposure
27,1477,4725986.86,57941.81648305725,43100.0,46554.2926282131,37028.0,53147.24045176884,39564.0,531.4213202277081,0.0,4794.576031288415,0.0,5476.163114105653,41.0,9440.804923706452,4049.0,597.858154772779,0.0,0.5117999324825624,1.0825887061395678,0.9379111985089182,17510.028244165984,Minnesota,0.09191975113644385,0.09451141587366245,1.2776866576816932,0.8066617278862082,-0.7895794944515019,0.09875172206365068,1.2567626881602787,-1.9307991014959485,-1.0543542081148467,Low Exposure
28,1970,2372693.98,36918.75086671733,24853.5,31706.48975711988,23630.5,31538.0807300864,13383.5,688.5101450546101,0.0,5380.670136630936,0.0,1978.955722515889,0.0,4962.20113708469,413.0,552.9406213227717,0.0,0.5719570420252538,3.7217530260687055,0.3190879255318041,8293.994635790676,Mississippi,0.16439289356230577,0.05360299782785825,0.6052032662234024,0.901476976674856,2.5528223674638153,-2.392327619836083,-1.8540875487744546,0.24083899103960674,1.8567310344280055,High Exposure
29,1534,4957972.7700000005,55480.84268483588,36400.0,45509.94358301407,32673.5,50268.273475775866,31200.0,708.9244027292227,0.0,5212.569209060017,0.0,7010.980814483173,5.0,8935.374533670543,3115.0,639.0832400759635,0.0,0.5509743925374823,1.5078235292526625,0.1405499853118394,15095.72661510929,Missouri,0.10673041946076484,0.12636759780866536,1.1015178396734935,0.8684056548219304,-0.10652362400872196,2.038603726148283,0.4418209123449714,-0.5166229491426942,-0.5789446908573254,Low Exposure
30,1898,945258.25,55068.2259957107,39149.5,44600.91195055954,34041.5,49363.88123206543,30456.0,640.141192726961,0.0,5704.344763645279,0.0,5153.641076859154,20.0,8701.478684042166,3239.0,537.6884537215094,0.0,0.5301435729357576,1.3129057588230515,0.376649450031248,16086.44310261674,Montana,0.11521137355807351,0.09358647357299242,1.1738092843235208,0.8355736361624015,0.28461102003766836,0.042428237369902116,0.7762349076560212,-1.2686039151453659,-0.39334163391818094,Medium Exposure
31,1278,1569684.7000000002,58994.89097448679,40060.0,47695.20384714203,36221.5,54012.94751900811,35001.0,765.878387404808,0.0,4981.943455478669,0.0,7416.690508068275,26.5,9757.596377374384,3425.0,670.2591421003211,0.0,0.5633287605589189,2.1741047740351926,0.6309107809995218,15103.12115481581,Nebraska,0.09742914594704831,0.1257175051188031,1.1020574107461938,0.8878777086902723,-0.5354907264388745,1.9990169479887703,0.44431692164523523,-0.07063715613322297,-0.6346968041721368,Low Exposure
32,1774,2676452.93,53767.9800565482,34001.0,45666.04669599402,30793.5,48569.945534689454,27900.0,602.8968533364044,0.0,5198.03452185875,0.0,4441.632604953004,0.0,8704.830213890591,2885.5,530.4164411626698,0.0,0.586907742968903,1.0933519387542523,0.67876329138357,11605.969872629685,Nevada,0.1078882146789645,0.08260739198834892,0.8468742967707849,0.9250411811440017,-0.05312705855710041,-0.6261325292164354,-0.7361381805256854,0.7805509540336871,0.4522770538519232,High Exposure
33,1286,1158134.4500000002,65352.40259861019,46078.0,54125.78266086462,40765.0,58964.17073075582,40000.0,463.8255227620592,0.0,6388.231867854374,0.0,5522.315896966884,26.0,11566.843328302682,4590.0,402.2359987737175,0.0,0.5239789817565735,0.6531305583734255,0.5362650251877059,19666.68356495008,New Hampshire,0.10484782683050359,0.08450057958671474,1.435055320379434,0.8258574571308966,-0.19334725138282388,-0.510848664869753,1.9847365650730924,-1.49114221745732,-0.884693651266917,Low Exposure
